Date,Open,High,Low,Close,Adj Close,Volume,split
2023-03-28,61.029999,61.029999,61.029999,61.029999,61.029999,0.0,0.936664852369095
2023-03-29,61.900002,61.900002,61.900002,61.900002,61.900002,0.0,0.8387045231704247
2023-03-30,62.259998,62.259998,62.259998,62.259998,62.259998,0.0,-0.7380031805387779
2023-04-03,63.389999,63.389999,63.389999,63.389999,63.389999,0.0,-1.9805348564247838
2023-04-04,63.029999,63.029999,63.029999,63.029999,63.029999,0.0,0.8784794973026587
2023-04-06,63.119999,63.119999,63.119999,63.119999,63.119999,0.0,-0.4077642900942335
2023-04-10,63.189999,63.189999,63.189999,63.189999,63.189999,0.0,0.4508484098272556
2023-04-11,63.18,63.18,63.18,63.18,63.18,0.0,0.3581962477303151
2023-04-12,62.919998,62.919998,62.919998,62.919998,62.919998,0.0,0.41081887583278015
2023-04-14,63.639999,63.639999,63.639999,63.639999,63.639999,0.0,-0.9800175947445586
2023-04-19,63.900002,63.900002,63.900002,63.900002,63.900002,0.0,1.3646612920977632
2023-04-20,63.52,63.52,63.52,63.52,63.52,0.0,1.3905904209417987
2023-04-21,63.580002,63.580002,63.580002,63.580002,63.580002,0.0,-1.9956457908487242
2023-04-25,62.630001,62.630001,62.630001,62.630001,62.630001,0.0,-1.0828320370542133
2023-04-27,63.610001,63.610001,63.610001,63.610001,63.610001,0.0,-0.777107909829844
2023-04-28,64.139999,64.139999,64.139999,64.139999,64.139999,0.0,-2.4269556241696733
2023-05-01,64.120003,64.120003,64.120003,64.120003,64.120003,0.0,1.6258975890231206
2023-05-02,63.380001,63.380001,63.380001,63.380001,63.380001,0.0,0.4468816398702116
2023-05-03,62.939999,62.939999,62.939999,62.939999,62.939999,0.0,-1.7499758631936786
2023-05-04,62.490002,62.490002,62.490002,62.490002,62.490002,0.0,-0.10294144177235007
2023-05-05,63.650002,63.650002,63.650002,63.650002,63.650002,0.0,0.5096547186149192
2023-05-08,63.669998,63.669998,63.669998,63.669998,63.669998,0.0,-0.08671291181349382
2023-05-09,63.389999,63.389999,63.389999,63.389999,63.389999,0.0,0.45707110196022976
2023-05-10,63.669998,63.669998,63.669998,63.669998,63.669998,0.0,-0.3732449017945678
2023-05-11,63.580002,63.580002,63.580002,63.580002,63.580002,0.0,0.031655311171206756
2023-05-12,63.490002,63.490002,63.490002,63.490002,63.490002,0.0,-0.5713003452091143
2023-05-15,63.689999,63.689999,63.689999,63.689999,63.689999,0.0,0.7010839634749956
2023-05-16,63.290001,63.290001,63.290001,63.290001,63.290001,0.0,-1.7355738585653264
2023-05-19,64.580002,64.580002,64.580002,64.580002,64.580002,0.0,0.3111801720500938
2023-05-22,64.589996,64.589996,64.589996,64.589996,64.589996,0.0,-0.48428564257428913
2023-05-24,63.400002,63.400002,63.400002,63.400002,63.400002,0.0,-0.8761346626442141
2023-05-25,63.959999,63.959999,63.959999,63.959999,63.959999,0.0,-0.048756692246685045
2023-05-26,64.800003,64.800003,64.800003,64.800003,64.800003,0.0,0.004185091815180784
2023-05-30,64.800003,64.800003,64.800003,64.800003,64.800003,0.0,0.11500090377409655
2023-05-31,64.419998,64.419998,64.419998,64.419998,64.419998,0.0,0.4934168096498971
2023-06-02,66.019997,66.019997,66.019997,66.019997,66.019997,0.0,-0.04325849985868361
2023-06-05,65.889999,65.889999,65.889999,65.889999,65.889999,0.0,1.7209125900831688
2023-06-06,66.040001,66.040001,66.040001,66.040001,66.040001,0.0,1.4478174659140775
2023-06-07,65.790001,65.790001,65.790001,65.790001,65.790001,0.0,-0.5810679470288878
2023-06-08,66.209999,66.209999,66.209999,66.209999,66.209999,0.0,2.4151491046736613
2023-06-09,66.290001,66.290001,66.290001,66.290001,66.290001,0.0,-0.8969191852576461
2023-06-15,68.269997,68.269997,68.269997,68.269997,68.269997,0.0,-0.6586160403428791
2023-06-16,68.019997,68.019997,68.019997,68.019997,68.019997,0.0,2.0089907075808866
2023-06-20,67.699997,67.699997,67.699997,67.699997,67.699997,0.0,-0.09680403386953879
2023-06-22,,,,,,,0.23370253477896308
